GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1054208954,20220715,202207,2022,2022.5342,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,110,110,11,3,-2.0,5,1,5,0.0,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20220715,http://latinalista.com/new-headline/july-15-2022,20220715133000,20220715133000,1,latinalista.com,http://latinalista.com/new-headline/july-15-2022,1,112,146,129,1,50,744,0.0,,
1054250635,20220715,202207,2022,2022.5342,IRN,IRAN,IRN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,16,16,1,1,-2.0,68,7,68,-5.57546078420361,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,1,Ukraine,UP,UP,49.0,32.0,UP,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20220715,http://www.chinaview.cn/20220716/c40ca2cbd64943c1a76972d6ccc45ea4/c.html,20220715183000,20220715183000,1,chinaview.cn,http://www.chinaview.cn/20220716/c40ca2cbd64943c1a76972d6ccc45ea4/c.html,1,0,45,5,1,100,958,-5.59006211180124,,
1054227872,20220715,202207,2022,2022.5342,EURGOV,EUROPEAN,EUR,,,,,GOV,,,RUS,RUSSIA,RUS,,,,,,,,1,112,112,11,3,-2.0,4,1,4,-4.82954545454545,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220715,http://www.euronews.com/next/2022/07/15/russia-has-a-new-space-chief-putin-replaces-dmitry-rogozin-with-yuri-borisov,20220715154500,20220715154500,1,euronews.com,http://www.euronews.com/next/2022/07/15/russia-has-a-new-space-chief-putin-replaces-dmitry-rogozin-with-yuri-borisov,4,921,1035,1042,0,40,2191,-4.82954545454545,,
1054262941,20220715,202207,2022,2022.5342,JPN,TOKYO,JPN,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,160,160,16,4,-4.0,16,2,16,-6.4308433683673,4,"Tokyo, Tokyo, Japan",JA,JA40,35.685,139.751,-246227,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220715,https://www.msn.com/en-us/news/world/russia-sanctions-384-japanese-lawmakers-over-stance-on-ukraine/ar-AAZCyXQ,20220715201500,20220715211500,1,msn.com,http://www.msn.com/en-nz/news/world/russia-sanctions-384-japanese-lawmakers-over-stance-on-ukraine/ar-AAZCyXQ,5,826,933,924,0,40,2225,-6.34441087613293,,
1054266849,20220715,202207,2022,2022.5342,RUS,RUSSIAN,RUS,,,,,,,,UKRMIL,UKRAINIAN,UKR,,,,,MIL,,,1,182,182,18,4,-9.5,5,1,5,-2.46913580246913,1,Russia,RS,RS,60.0,100.0,RS,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20220715,http://www.msn.com/en-us/news/world/robbed-of-the-most-precious-thing-russian-missile-attack-kills-liza-4/ar-AAZCS3D,20220715204500,20220715204500,1,msn.com,http://www.msn.com/en-us/news/world/robbed-of-the-most-precious-thing-russian-missile-attack-kills-liza-4/ar-AAZCS3D,1,173,75,238,1,50,3901,-2.46913580246913,,
1054129322,20220715,202207,2022,2022.5342,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,194,194,19,4,-10.0,112,13,108,-6.63617224507648,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220715,https://www.10news.com/news/national/russian-missiles-kill-at-least-23-in-ukraine-wound-over-100,20220715011500,20220715103000,1,bdnews24.com,https://bdnews24.com/world/2022/07/15/ukraine-denounces-deadly-missile-strike-as-war-overshadows-g20-meeting,2,71,246,230,1,100,4446,-7.8125,,
1054250635,20220715,202207,2022,2022.5342,IRN,IRAN,IRN,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,16,16,1,1,-2.0,68,7,68,-5.57546078420361,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,1,Ukraine,UP,UP,49.0,32.0,UP,4,"Tehran, Tehran, Iran",IR,IR26,35.75,51.5148,10074674,20220715,http://www.chinaview.cn/20220716/c40ca2cbd64943c1a76972d6ccc45ea4/c.html,20220715183000,20220715214500,1,english.news.cn,https://english.news.cn/20220716/c40ca2cbd64943c1a76972d6ccc45ea4/c.html,1,0,45,5,1,100,958,-5.59006211180124,,
1054133250,20220715,202207,2022,2022.5342,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,85,85,8,2,7.0,5,1,5,-1.148659043126,1,Ukraine,UP,UP,49.0,32.0,UP,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20220715,https://finance.yahoo.com/news/1-ukraine-grain-deal-emerges-212632975.html,20220715014500,20220715014500,1,yahoo.com,https://finance.yahoo.com/news/1-ukraine-grain-deal-emerges-212632975.html,1,10,71,52,1,50,120745,-1.148659043126,,
1054141896,20220715,202207,2022,2022.5342,UKR,UKRAINIAN,UKR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,190,190,19,4,-10.0,6,1,6,-9.61538461538458,1,Ukraine,UP,UP,49.0,32.0,UP,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20220715,https://freerepublic.com/focus/f-news/4078523/posts,20220715031500,20220715031500,1,freerepublic.com,https://freerepublic.com/focus/f-news/4078523/posts,1,186,159,176,1,60,113,-9.61538461538458,,
1054153099,20220715,202207,2022,2022.5342,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,130,130,13,3,-4.4,7,2,7,-4.38789705541387,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20220715,https://freerepublic.com/focus/f-news/4078534/posts,20220715053000,20220715053000,1,freerepublic.com,https://freerepublic.com/focus/f-news/4078534/posts,4,799,873,816,1,50,1301,-7.89473684210526,,
1054129322,20220715,202207,2022,2022.5342,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,194,194,19,4,-10.0,112,13,108,-6.63617224507648,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220715,https://www.10news.com/news/national/russian-missiles-kill-at-least-23-in-ukraine-wound-over-100,20220715011500,20220715041500,1,gazette.com,https://gazette.com/news/us-world/ukraine-denounces-deadly-missile-strike-as-war-overshadows-g20-meeting/article_5c6e4c79-817d-58db-b86c-2169e87ce9c0.html,3,296,471,455,1,100,4505,-7.54189944134079,,
1054137461,20220715,202207,2022,2022.5342,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,73,73,7,2,7.4,10,1,10,-4.76190476190476,1,Russia,RS,RS,60.0,100.0,RS,1,Ukraine,UP,UP,49.0,32.0,UP,1,Russia,RS,RS,60.0,100.0,RS,20220715,https://gbn.gd/improving-food-security/,20220715023000,20220715023000,1,gbn.gd,https://gbn.gd/improving-food-security/,2,183,202,158,1,100,343,-4.76190476190476,,
1054251856,20220715,202207,2022,2022.5342,BLR,BELARUS,BLR,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,22,22,2,1,3.2,8,1,8,-2.32558139534884,1,Belarus,BO,BO,53.0,28.0,BO,1,Belarus,BO,BO,53.0,28.0,BO,1,Belarus,BO,BO,53.0,28.0,BO,20220715,https://globalarbitrationreview.com/article/belarus-urged-free-arbitrator-detained-over-support-ukraine,20220715184500,20220715184500,1,globalarbitrationreview.com,https://globalarbitrationreview.com/article/belarus-urged-free-arbitrator-detained-over-support-ukraine,1,0,59,8,1,80,208,-2.32558139534884,,
1054121208,20220715,202207,2022,2022.5342,RUS,MOSCOW,RUS,,,,,,,,RUSGOV,RUSSIA,RUS,,,,,GOV,,,0,20,20,2,1,3.0,4,1,4,-1.43755615453729,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Luhansk, Luhans'ka Oblast', Ukraine",UP,UP14,48.567,39.3171,-1045160,4,"Luhansk, Luhans'ka Oblast', Ukraine",UP,UP14,48.567,39.3171,-1045160,20220715,https://jamestown.org/program/moscow-turns-to-regions-to-replace-losses-and-boost-forces-in-ukraine/,20220715001500,20220715001500,1,jamestown.org,https://jamestown.org/program/moscow-turns-to-regions-to-replace-losses-and-boost-forces-in-ukraine/,9,3232,3292,3262,1,40,6653,-1.43755615453729,,
