GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1034967799,20220321,202203,2022,2022.2219,RUS,RUSSIAN,RUS,,,,,,,,TUR,TURKEY,TUR,,,,,,,,1,42,42,4,1,1.9,35,5,35,-1.17572335935988,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,1,Turkey,TU,TU,39.059012,34.911546,TU,1,Turkey,TU,TU,39.059012,34.911546,TU,20220321,https://www.nationalheraldindia.com/international/russia-ukraine-make-progress-in-ceasefire-negotiations-turkish-fm,20220321033000,20220321043000,1,sina.com,http://english.sina.com/world/2022-03-21/detail-imcwiwss7224583.shtml,5,1166,1148,1155,1,70,1278,-0.48543689320389,,
1034967799,20220321,202203,2022,2022.2219,RUS,RUSSIAN,RUS,,,,,,,,TUR,TURKEY,TUR,,,,,,,,1,42,42,4,1,1.9,35,5,35,-1.17572335935988,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,1,Turkey,TU,TU,39.059012,34.911546,TU,1,Turkey,TU,TU,39.059012,34.911546,TU,20220321,https://www.nationalheraldindia.com/international/russia-ukraine-make-progress-in-ceasefire-negotiations-turkish-fm,20220321033000,20220321044500,1,famagusta-gazette.com,http://famagusta-gazette.com/2022/03/21/russia-ukraine-make-progress-in-ceasefire-negotiations-turkish-fm/,5,1184,1166,1173,1,70,1286,-0.47619047619048,,
1034955471,20220321,202203,2022,2022.2219,RUS,RUSSIA,RUS,,,,,,,,UKR,KYIV,UKR,,,,,,,,1,80,80,8,2,5.0,504,139,500,-6.26284313559588,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220321,https://www.theguardian.com/world/live/2022/mar/20/russian-ukraine-war-latest-thousands-of-mariupol-residents-being-deported-to-remote-parts-of-russia-live?filterKeyEvents=false&page=with:block-6237c3b88f08ee17b53736d5,20220321010000,20220321150000,1,thepeninsulaqatar.com,http://thepeninsulaqatar.com/article/21/03/2022/ukraine-rejects-russian-demand-for-surrender-in-mariupol,5,528,627,583,1,50,8110,-7.00152207001523,,
1034972554,20220321,202203,2022,2022.2219,AUT,VIENNA,AUT,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,190,190,19,4,-10.0,5,1,5,-3.86473429951691,4,"Vienna, Wien, Austria",AU,AU09,48.2,16.3667,-1995499,1,Ukraine,UP,UP,49.0,32.0,UP,1,Israel,IS,IS,31.5,34.75,IS,20220321,http://voiceofvienna.org/2022/03/21/ukraines-zelenskiy-presses-israel-for-missile-defence-help-fighting-rages-in-mariupol/,20220321043000,20220321043000,1,voiceofvienna.org,http://voiceofvienna.org/2022/03/21/ukraines-zelenskiy-presses-israel-for-missile-defence-help-fighting-rages-in-mariupol/,1,110,0,79,1,50,2548,-3.86473429951691,,
1034955471,20220321,202203,2022,2022.2219,RUS,RUSSIA,RUS,,,,,,,,UKR,KYIV,UKR,,,,,,,,1,80,80,8,2,5.0,504,139,500,-6.26284313559588,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220321,https://www.theguardian.com/world/live/2022/mar/20/russian-ukraine-war-latest-thousands-of-mariupol-residents-being-deported-to-remote-parts-of-russia-live?filterKeyEvents=false&page=with:block-6237c3b88f08ee17b53736d5,20220321010000,20220321131500,1,chicagotribune.com,http://www.chicagotribune.com/nation-world/ct-aud-nw-ukraine-russia-mariupol-20220321-sipwtzmzond3rgt5r7mvy75liq-story.html,3,268,367,323,1,50,7835,-6.66144200626959,,
1034967799,20220321,202203,2022,2022.2219,RUS,RUSSIAN,RUS,,,,,,,,TUR,TURKEY,TUR,,,,,,,,1,42,42,4,1,1.9,35,5,35,-1.17572335935988,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,1,Turkey,TU,TU,39.059012,34.911546,TU,1,Turkey,TU,TU,39.059012,34.911546,TU,20220321,https://www.nationalheraldindia.com/international/russia-ukraine-make-progress-in-ceasefire-negotiations-turkish-fm,20220321033000,20220321074500,1,china.org.cn,http://www.china.org.cn/world/2022-03/21/content_78120150.htm,5,1247,1229,1236,1,70,1382,-0.42918454935623,,
1034967799,20220321,202203,2022,2022.2219,RUS,RUSSIAN,RUS,,,,,,,,TUR,TURKEY,TUR,,,,,,,,1,42,42,4,1,1.9,35,5,35,-1.17572335935988,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,1,Turkey,TU,TU,39.059012,34.911546,TU,1,Turkey,TU,TU,39.059012,34.911546,TU,20220321,https://www.nationalheraldindia.com/international/russia-ukraine-make-progress-in-ceasefire-negotiations-turkish-fm,20220321033000,20220321033000,1,ecns.cn,http://www.ecns.cn/news/2022-03-21/detail-ihawuesq7010198.shtml,5,1155,1137,1144,1,70,1281,-0.48780487804878,,
1034955471,20220321,202203,2022,2022.2219,RUS,RUSSIA,RUS,,,,,,,,UKR,KYIV,UKR,,,,,,,,1,80,80,8,2,5.0,504,139,500,-6.26284313559588,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220321,https://www.theguardian.com/world/live/2022/mar/20/russian-ukraine-war-latest-thousands-of-mariupol-residents-being-deported-to-remote-parts-of-russia-live?filterKeyEvents=false&page=with:block-6237c3b88f08ee17b53736d5,20220321010000,20220321080000,1,econotimes.com,http://www.econotimes.com/Russia-Ukraine-conflict-Kyiv-rejects-Moscows-demand-to-surrender-Mariupol-1629632,1,0,26,56,1,50,2229,-6.18279569892473,,
1035049591,20220321,202203,2022,2022.2219,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,180,180,18,4,-9.0,66,10,66,-6.62791541837749,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20220321,https://www.towleroad.com/2022/03/ukraine-and-russia-what-you-need-to-know-right-now-2/,20220321140000,20220321141500,1,huskeradio.com,http://www.huskeradio.com/2022/03/21/ukraine-rejects-russian-demand-for-surrender-in-mariupol/,6,1282,1352,1339,1,40,7822,-6.62509742790335,,
1035060998,20220321,202203,2022,2022.2219,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,190,190,19,4,-10.0,5,1,5,-1.21681415929203,1,South Korea,KS,KS,37.0,127.5,KS,1,South Korea,KS,KS,37.0,127.5,KS,1,South Korea,KS,KS,37.0,127.5,KS,20220321,http://www.koreaherald.com/view.php?ud=20220321000866,20220321150000,20220321150000,1,koreaherald.com,http://www.koreaherald.com/view.php?ud=20220321000866,1,190,226,197,1,50,5092,-1.21681415929203,,
