GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1039767219,20220417,202204,2022,2022.2932,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINIAN,UKR,,,,,,,,1,20,20,2,1,3.0,14,3,14,2.36665150749922,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20220417,http://axisoflogic.com/artman/publish/Article_91984.shtml,20220417041500,20220417041500,1,axisoflogic.com,http://axisoflogic.com/artman/publish/Article_91984.shtml,1,0,13,7,1,100,261,4.0,,
1039825137,20220417,202204,2022,2022.2932,RUS,RUSSIAN,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,43,43,4,1,2.8,7,1,6,-0.75187969924812,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Donbass, Ukraine (general), Ukraine",UP,UP00,48.5,38.5,-1038077,4,"Donbass, Ukraine (general), Ukraine",UP,UP00,48.5,38.5,-1038077,20220417,http://sana.sy/en/?p=269634,20220417161500,20220417161500,1,sana.sy,http://sana.sy/en/?p=269634,3,344,297,329,1,70,819,-0.75187969924812,,
1039839335,20220417,202204,2022,2022.2932,RUS,MOSCOW,RUS,,,,,,,,UKR,UKRAINIAN,UKR,,,,,,,,1,130,130,13,3,-4.4,10,1,10,-8.51063829787234,4,"Azovstal, Ukraine (general), Ukraine",UP,UP00,47.0833,37.5833,-1034725,4,"Azovstal, Ukraine (general), Ukraine",UP,UP00,47.0833,37.5833,-1034725,4,"Azovstal, Ukraine (general), Ukraine",UP,UP00,47.0833,37.5833,-1034725,20220417,http://thepeninsulaqatar.com/article/17/04/2022/russia:-mariupol-fighters-will-be-destroyed-,20220417193000,20220417193000,1,thepeninsulaqatar.com,http://thepeninsulaqatar.com/article/17/04/2022/russia:-mariupol-fighters-will-be-destroyed-,1,47,91,79,1,100,949,-8.51063829787234,,
1039805507,20220417,202204,2022,2022.2932,RUS,RUSSIAN,RUS,,,,,,,,BLR,MINSK,BLR,,,,,,,,0,30,30,3,1,4.0,8,1,8,-8.20244328097731,4,"Lugansk, Novosibirskaya Oblast', Russia",RS,RS53,53.622,77.5991,-2948357,4,"Minsk, Belarus (general), Belarus",BO,BO00,53.9,27.5667,-1946324,4,"Minsk, Belarus (general), Belarus",BO,BO00,53.9,27.5667,-1946324,20220417,http://www.hngn.com/articles/241665/20220417/militant-british-national-captured-in-mariupol-claim-that-pro-ukraine-soldiers-abandoned-civilian-welfare-as-the-russians-stormed-the-port-city.htm,20220417123000,20220417123000,1,hngn.com,http://www.hngn.com/articles/241665/20220417/militant-british-national-captured-in-mariupol-claim-that-pro-ukraine-soldiers-abandoned-civilian-welfare-as-the-russians-stormed-the-port-city.htm,10,2847,3008,2986,1,80,3448,-8.20244328097731,,
1039777583,20220417,202204,2022,2022.2932,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,10,10,1,1,0.0,4,1,4,-1.10375275938189,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,1,China,CH,CH,35.0,105.0,CH,20220417,http://www.koreaherald.com/view.php?ud=20220417000072,20220417064500,20220417064500,1,koreaherald.com,http://www.koreaherald.com/view.php?ud=20220417000072,4,1804,1816,1612,1,40,2861,-1.10375275938189,,
1039796772,20220417,202204,2022,2022.2932,RUS,RUSSIAN,RUS,,,,,,,,UKR,KYIV,UKR,,,,,,,,1,874,87,8,2,10.0,35,6,35,-2.43830188700799,4,"Kharkiv, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.9808,36.2527,-1041320,4,"Kharkiv, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.9808,36.2527,-1041320,4,"Kharkiv, Kharkivs'ka Oblast', Ukraine",UP,UP07,49.9808,36.2527,-1041320,20220417,https://www.france24.com/en/live-news/20220417-puppets-and-poetry-go-underground-in-besieged-city-of-kharkiv,20220417104500,20220417110000,1,msn.com,http://www.msn.com/en-nz/news/other/puppets-and-poetry-go-underground-in-besieged-city-of-kharkiv/ar-AAWiyrn,7,1787,1670,1603,1,50,3458,-2.97202797202797,,
1039760099,20220417,202204,2022,2022.2932,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,139,139,13,3,-7.0,156,18,156,-4.8781500795587,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220417,https://www.msn.com/en-gb/news/world/russia-sets-0300-gmt-deadline-for-ukraine-troops-in-mariupol-to-surrender/ar-AAWhZb5,20220417020000,20220417030000,1,msn.com,http://www.msn.com/en-nz/news/world/russia-sets-0300-gmt-deadline-for-ukraine-troops-in-mariupol-to-surrender/ar-AAWhZb5,1,0,29,7,1,100,3320,-4.07407407407407,,
1039756098,20220417,202204,2022,2022.2932,UKR,DONETSK,UKR,,,,,,,,RUS,RUSSIAN FEDERATION,RUS,,,,,,,,1,13,13,1,1,0.4,11,3,11,-2.55901073663012,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20220417,http://www.msn.com/en-us/news/politics/zelensky-calls-situation-in-mariupol-inhuman/ar-AAWi4I5,20220417011500,20220417011500,1,msn.com,http://www.msn.com/en-us/news/politics/zelensky-calls-situation-in-mariupol-inhuman/ar-AAWi4I5,12,2254,2377,2271,1,50,2310,-3.46666666666666,,
1039786869,20220417,202204,2022,2022.2932,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,190,190,19,4,-10.0,24,6,24,-1.57792025076526,4,"Hostomel, Kyyivs'ka Oblast', Ukraine",UP,UP13,50.5789,30.2622,-1039545,4,"Hostomel, Kyyivs'ka Oblast', Ukraine",UP,UP13,50.5789,30.2622,-1039545,4,"Hostomel, Kyyivs'ka Oblast', Ukraine",UP,UP13,50.5789,30.2622,-1039545,20220417,http://www.msn.com/en-us/news/world/can-the-world-s-largest-commercial-plane-ever-fly-again/ar-AAWiyKa,20220417084500,20220417084500,1,msn.com,http://www.msn.com/en-us/news/world/can-the-world-s-largest-commercial-plane-ever-fly-again/ar-AAWiyKa,9,2239,2250,2222,0,40,10172,-1.36175251628182,,
1039815519,20220417,202204,2022,2022.2932,RUS,RUSSIAN,RUS,,,,,,,,UKRELI,UKRAINE,UKR,,,,,ELI,,,1,190,190,19,4,-10.0,47,9,47,-7.15501576419498,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,1,Ukraine,UP,UP,49.0,32.0,UP,4,"Moscow, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,20220417,http://www.msn.com/en-us/news/world/injured-alone-and-destined-for-a-russian-orphanage-a-12-year-old-ukrainian-girl-is-recruited-for-moscow-s-information-war/ar-AAWiUpi,20220417143000,20220417143000,1,msn.com,http://www.msn.com/en-us/news/world/injured-alone-and-destined-for-a-russian-orphanage-a-12-year-old-ukrainian-girl-is-recruited-for-moscow-s-information-war/ar-AAWiUpi,5,832,774,822,1,40,4442,-8.02213001383124,,
