GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1051128172,20220625,202206,2022,2022.4795,RUS,RUSSIAN,RUS,,,,,,,,UKR,UKRAINIAN,UKR,,,,,,,,1,80,80,8,2,5.0,10,1,10,1.88679245283019,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20220625,http://axisoflogic.com/artman/publish/Article_92221.shtml,20220625114500,20220625114500,1,axisoflogic.com,http://axisoflogic.com/artman/publish/Article_92221.shtml,1,0,37,60,1,100,261,1.88679245283019,,
1051094484,20220625,202206,2022,2022.4795,BEL,BRUSSELS,BEL,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,72,72,7,2,8.3,24,3,24,-6.97990623454983,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20220625,https://dunyanews.tv/en/World/657401-Putin-defends-Russia%5C,20220625050000,20220625110000,1,businessnews24bd.com,http://businessnews24bd.com/?p=2230,5,1341,1436,1407,1,80,1514,-6.61157024793388,,
1051101152,20220625,202206,2022,2022.4795,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,51,51,5,1,3.4,10,1,10,-4.47761194029851,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20220625,http://idrw.org/support-talks-between-russia-ukraine-brics-nations-say-in-declaration/,20220625063000,20220625063000,1,idrw.org,http://idrw.org/support-talks-between-russia-ukraine-brics-nations-say-in-declaration/,1,22,31,0,1,100,2007,-4.47761194029851,,
1051076700,20220625,202206,2022,2022.4795,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,46,46,4,1,7.0,34,4,34,-0.347504953383373,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20220625,https://english.news.cn/20220625/0eef7d6073d14e208b91e28902ce3873/c.html,20220625011500,20220625164500,1,theindianawaaz.com,http://theindianawaaz.com/brics-countries-support-talks-between-russia-and-ukraine/,4,492,503,478,0,40,3193,2.9535864978903,,
1051168409,20220625,202206,2022,2022.4795,POL,WARSAW,POL,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,141,141,14,3,-6.5,30,2,30,1.78020491034127,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20220625,https://www.msn.com/en-us/news/world/ukraine-s-kyivpride-teams-up-with-poland-s-warsaw-pride-to-march-for-peace/ar-AAYRJL7,20220625194500,20220625204500,1,msn.com,http://www.msn.com/en-us/news/world/ukraine-s-kyivpride-teams-up-with-poland-s-warsaw-pride-to-march-for-peace/ar-AAYRJL7,1,116,170,93,1,100,7649,1.78432893716059,,
1051124647,20220625,202206,2022,2022.4795,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,874,87,8,2,10.0,8,2,8,-10.2430555555556,1,Russia,RS,RS,60.0,100.0,RS,4,"Severodonetsk, Luhans'ka Oblast', Ukraine",UP,UP14,48.9483,38.4917,-1055854,4,"Severodonetsk, Luhans'ka Oblast', Ukraine",UP,UP14,48.9483,38.4917,-1055854,20220625,https://article.wn.com/view/2022/06/25/Ukraine_orders_tactical_withdrawal_from_Severodonetsk/,20220625111500,20220625111500,1,wn.com,https://article.wn.com/view/2022/06/25/Ukraine_orders_tactical_withdrawal_from_Severodonetsk/,1,-1,139,96,0,60,170,-9.375,,
1051169471,20220625,202206,2022,2022.4795,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,100,100,10,3,-5.0,5,1,5,1.53846153846154,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,4,"Kyiv, Kyyiv, Misto, Ukraine",UP,UP12,50.4333,30.5167,-1044367,20220625,https://article.wn.com/view/2022/06/25/Ukraine_to_fight_on_from_higher_ground_in_Lysychansk_spy_chi_x/,20220625200000,20220625200000,1,wn.com,https://article.wn.com/view/2022/06/25/Ukraine_to_fight_on_from_higher_ground_in_Lysychansk_spy_chi_x/,2,250,92,118,1,50,346,1.53846153846154,,
1051133157,20220625,202206,2022,2022.4795,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIA,RUS,,,,,,,,1,90,90,9,2,-2.0,5,1,5,5.88235294117647,1,Ukraine,UP,UP,49.0,32.0,UP,4,"Kremlin, Moskva, Russia",RS,RS48,55.7522,37.6156,-2960561,1,Ukraine,UP,UP,49.0,32.0,UP,20220625,https://biztoc.com/p/9e4g67rz,20220625124500,20220625124500,1,biztoc.com,https://biztoc.com/p/9e4g67rz,1,0,20,8,1,50,148,5.88235294117647,,
1051161168,20220625,202206,2022,2022.4795,UKR,UKRAINE,UKR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,87,87,8,2,9.0,10,1,10,-4.16666666666667,1,Ukraine,UP,UP,49.0,32.0,UP,1,Russia,RS,RS,60.0,100.0,RS,1,Ukraine,UP,UP,49.0,32.0,UP,20220625,https://biztoc.com/p/kcnu8pvg,20220625180000,20220625180000,1,biztoc.com,https://biztoc.com/p/kcnu8pvg,1,0,46,22,1,100,245,-4.16666666666667,,
1051173241,20220625,202206,2022,2022.4795,EUR,EUROPE,EUR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,0,194,194,19,4,-10.0,21,3,21,-4.9720824540025,4,"Pokrovsk, Mordoviya, Russia",RS,RS46,54.768,45.837,-2985097,4,"Pokrovsk, Mordoviya, Russia",RS,RS46,54.768,45.837,-2985097,4,"Pokrovsk, Mordoviya, Russia",RS,RS46,54.768,45.837,-2985097,20220625,https://calgarysun.com/news/world/sievierodonetsk-falls-to-russia-after-one-of-wars-bloodiest-fights-in-ukraine/wcm/a7cb1ac0-322c-46ad-9731-6e7fab1031e8,20220625210000,20220625210000,1,calgarysun.com,https://calgarysun.com/news/world/sievierodonetsk-falls-to-russia-after-one-of-wars-bloodiest-fights-in-ukraine/wcm/a7cb1ac0-322c-46ad-9731-6e7fab1031e8,14,3376,3458,3480,1,70,7911,-4.97592295345104,,
